CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Child_Age,Indicator,Value
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,12m,PCV_12m,1834.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,12m,Rota_12m,1773.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,24m,24m_Eligible_Pop,2033.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,24m,DTaP_IPV_Hib_HepB_24m,1932.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,24m,Hib_MenC_24m,1893.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,24m,MMR_24m,1896.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,24m,MenB_booster_24m,1876.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,24m,PCV_24m,1891.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,5yr,5y_Eligible_Pop,2203.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,5yr,DTaP_IPV_5y,1935.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,5yr,DTaP_IPV_Hib_HepB_5y,2090.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,5yr,Hib_MenC_5y,2054.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,5yr,MMR1_5y,2102.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,5yr,MMR2_5y,1976.0
2023-24,E12000001,North East,E08000024,Sunderland,12m,12m_Eligible_Pop,2576.0
2023-24,E12000001,North East,E08000024,Sunderland,12m,DTaP_IPV_Hib_HepB_12m,2497.0
2023-24,E12000001,North East,E08000024,Sunderland,12m,MenB_12m,2454.0
2023-24,E12000001,North East,E08000024,Sunderland,12m,PCV_12m,2523.0
2023-24,E12000001,North East,E08000024,Sunderland,12m,Rota_12m,2451.0
2023-24,E12000001,North East,E08000024,Sunderland,24m,24m_Eligible_Pop,2823.0
2023-24,E12000001,North East,E08000024,Sunderland,24m,DTaP_IPV_Hib_HepB_24m,2735.0
2023-24,E12000001,North East,E08000024,Sunderland,24m,Hib_MenC_24m,2669.0
2023-24,E12000001,North East,E08000024,Sunderland,24m,MMR_24m,2674.0
2023-24,E12000001,North East,E08000024,Sunderland,24m,MenB_booster_24m,2644.0
2023-24,E12000001,North East,E08000024,Sunderland,24m,PCV_24m,2652.0
2023-24,E12000001,North East,E08000024,Sunderland,5yr,5y_Eligible_Pop,2882.0
2023-24,E12000001,North East,E08000024,Sunderland,5yr,DTaP_IPV_5y,2628.0
2023-24,E12000001,North East,E08000024,Sunderland,5yr,DTaP_IPV_Hib_HepB_5y,2742.0
2023-24,E12000001,North East,E08000024,Sunderland,5yr,Hib_MenC_5y,2745.0
2023-24,E12000001,North East,E08000024,Sunderland,5yr,MMR1_5y,2746.0
2023-24,E12000001,North East,E08000024,Sunderland,5yr,MMR2_5y,2620.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,12m,12m_Eligible_Pop,2024.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,12m,DTaP_IPV_Hib_HepB_12m,1749.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,12m,MenB_12m,1767.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,12m,PCV_12m,1829.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,12m,Rota_12m,1705.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,24m,24m_Eligible_Pop,2150.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,24m,DTaP_IPV_Hib_HepB_24m,1910.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,24m,Hib_MenC_24m,1859.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,24m,MMR_24m,1859.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,24m,MenB_booster_24m,1806.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,24m,PCV_24m,1821.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,5yr,5y_Eligible_Pop,2319.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,5yr,DTaP_IPV_5y,1907.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,5yr,DTaP_IPV_Hib_HepB_5y,2164.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,5yr,Hib_MenC_5y,2141.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,5yr,MMR1_5y,2174.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,5yr,MMR2_5y,1987.0
2023-24,E12000002,North West,E06000009,Blackpool,12m,12m_Eligible_Pop,1609.0
2023-24,E12000002,North West,E06000009,Blackpool,12m,DTaP_IPV_Hib_HepB_12m,1479.0
2023-24,E12000002,North West,E06000009,Blackpool,12m,MenB_12m,1471.0
2023-24,E12000002,North West,E06000009,Blackpool,12m,PCV_12m,1516.0
2023-24,E12000002,North West,E06000009,Blackpool,12m,Rota_12m,1418.0
2023-24,E12000002,North West,E06000009,Blackpool,24m,24m_Eligible_Pop,1674.0
